SuperWEB2(tm),,,,,
,,,,,
Census 2022-Person-2Fv1,,,,,
Scotland's Census 2022 - National Records of Scotland Table UV501a - Highest level of qualification by sex by age (16) All people aged 16 and over,,,,,
United Kingdom Parliamentary Constituency 2024 by Sex and Age by Highest Level of Qualification,,,,,
Counting: Individuals,,,,,
,,,,,
Filters:,,,,,
Default Summation,Individuals,,,,
,,,,,
Counting,United Kingdom Parliamentary Constituency 2024,Sex,Age,Highest Level of Qualification,Count
Individuals,East Renfrewshire,Male,80 to 84,Upper school qualifications,68
Individuals,East Renfrewshire,Male,80 to 84,Apprenticeship qualifications,280
Individuals,East Renfrewshire,Male,80 to 84,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,94
Individuals,East Renfrewshire,Male,80 to 84,Degree level qualifications or above,388
Individuals,East Renfrewshire,Male,85 and over,All people aged 16 and over,1113
Individuals,East Renfrewshire,Male,85 and over,No qualifications,296
Individuals,East Renfrewshire,Male,85 and over,Lower school qualifications,110
Individuals,East Renfrewshire,Male,85 and over,Upper school qualifications,46
Individuals,East Renfrewshire,Male,85 and over,Apprenticeship qualifications,215
Individuals,East Renfrewshire,Male,85 and over,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,78
Individuals,East Renfrewshire,Male,85 and over,Degree level qualifications or above,365
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,Total,All people aged 16 and over,22174
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,Total,No qualifications,3952
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,Total,Lower school qualifications,3757
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,Total,Upper school qualifications,2325
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,Total,Apprenticeship qualifications,2345
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,Total,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,2887
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,Total,Degree level qualifications or above,6905
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,16 to 19,All people aged 16 and over,970
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,16 to 19,No qualifications,91
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,16 to 19,Lower school qualifications,395
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,16 to 19,Upper school qualifications,319
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,16 to 19,Apprenticeship qualifications,77
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,16 to 19,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,61
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,16 to 19,Degree level qualifications or above,25
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,20 to 24,All people aged 16 and over,909
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,20 to 24,No qualifications,33
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,20 to 24,Lower school qualifications,207
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,20 to 24,Upper school qualifications,170
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,20 to 24,Apprenticeship qualifications,116
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,20 to 24,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,186
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,20 to 24,Degree level qualifications or above,196
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,25 to 29,All people aged 16 and over,1149
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,25 to 29,No qualifications,41
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,25 to 29,Lower school qualifications,189
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,25 to 29,Upper school qualifications,132
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,25 to 29,Apprenticeship qualifications,142
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,25 to 29,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,248
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,25 to 29,Degree level qualifications or above,397
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,30 to 34,All people aged 16 and over,1281
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,30 to 34,No qualifications,58
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,30 to 34,Lower school qualifications,208
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,30 to 34,Upper school qualifications,128
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,30 to 34,Apprenticeship qualifications,172
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,30 to 34,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,264
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,30 to 34,Degree level qualifications or above,453
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,35 to 39,All people aged 16 and over,1272
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,35 to 39,No qualifications,60
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,35 to 39,Lower school qualifications,174
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,35 to 39,Upper school qualifications,121
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,35 to 39,Apprenticeship qualifications,132
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,35 to 39,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,268
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,35 to 39,Degree level qualifications or above,514
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,40 to 44,All people aged 16 and over,1487
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,40 to 44,No qualifications,74
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,40 to 44,Lower school qualifications,238
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,40 to 44,Upper school qualifications,151
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,40 to 44,Apprenticeship qualifications,112
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,40 to 44,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,315
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,40 to 44,Degree level qualifications or above,597
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,45 to 49,All people aged 16 and over,1656
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,45 to 49,No qualifications,122
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,45 to 49,Lower school qualifications,277
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,45 to 49,Upper school qualifications,172
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,45 to 49,Apprenticeship qualifications,196
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,45 to 49,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,274
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,45 to 49,Degree level qualifications or above,615
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,50 to 54,All people aged 16 and over,2104
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,50 to 54,No qualifications,243
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,50 to 54,Lower school qualifications,441
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,50 to 54,Upper school qualifications,236
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,50 to 54,Apprenticeship qualifications,223
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,50 to 54,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,334
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,50 to 54,Degree level qualifications or above,631
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,55 to 59,All people aged 16 and over,2250
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,55 to 59,No qualifications,295
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,55 to 59,Lower school qualifications,414
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,55 to 59,Upper school qualifications,265
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,55 to 59,Apprenticeship qualifications,204
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,55 to 59,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,304
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,55 to 59,Degree level qualifications or above,769
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,60 to 64,All people aged 16 and over,2151
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,60 to 64,No qualifications,348
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,60 to 64,Lower school qualifications,350
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,60 to 64,Upper school qualifications,224
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,60 to 64,Apprenticeship qualifications,284
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,60 to 64,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,231
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,60 to 64,Degree level qualifications or above,717
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,65 to 69,All people aged 16 and over,1916
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,65 to 69,No qualifications,455
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,65 to 69,Lower school qualifications,258
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,65 to 69,Upper school qualifications,196
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,65 to 69,Apprenticeship qualifications,238
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,65 to 69,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,158
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,65 to 69,Degree level qualifications or above,610
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,70 to 74,All people aged 16 and over,1788
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,70 to 74,No qualifications,573
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,70 to 74,Lower school qualifications,229
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,70 to 74,Upper school qualifications,110
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,70 to 74,Apprenticeship qualifications,205
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,70 to 74,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,98
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,70 to 74,Degree level qualifications or above,566
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,75 to 79,All people aged 16 and over,1362
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,75 to 79,No qualifications,569
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,75 to 79,Lower school qualifications,182
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,75 to 79,Upper school qualifications,53
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,75 to 79,Apprenticeship qualifications,99
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,75 to 79,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,73
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,75 to 79,Degree level qualifications or above,386
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,80 to 84,All people aged 16 and over,1015
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,80 to 84,No qualifications,493
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,80 to 84,Lower school qualifications,119
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,80 to 84,Upper school qualifications,30
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,80 to 84,Apprenticeship qualifications,74
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,80 to 84,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,42
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,80 to 84,Degree level qualifications or above,257
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,85 and over,All people aged 16 and over,868
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,85 and over,No qualifications,496
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,85 and over,Lower school qualifications,77
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,85 and over,Upper school qualifications,24
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,85 and over,Apprenticeship qualifications,66
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,85 and over,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,28
Individuals,Na h-Eileanan an Iar,All people aged 16 and over,85 and over,Degree level qualifications or above,177
Individuals,Na h-Eileanan an Iar,Female,Total,All people aged 16 and over,11286
Individuals,Na h-Eileanan an Iar,Female,Total,No qualifications,1997
Individuals,Na h-Eileanan an Iar,Female,Total,Lower school qualifications,2003
Individuals,Na h-Eileanan an Iar,Female,Total,Upper school qualifications,1346
Individuals,Na h-Eileanan an Iar,Female,Total,Apprenticeship qualifications,313
Individuals,Na h-Eileanan an Iar,Female,Total,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,1414
Individuals,Na h-Eileanan an Iar,Female,Total,Degree level qualifications or above,4210
Individuals,Na h-Eileanan an Iar,Female,16 to 19,All people aged 16 and over,456
Individuals,Na h-Eileanan an Iar,Female,16 to 19,No qualifications,31
Individuals,Na h-Eileanan an Iar,Female,16 to 19,Lower school qualifications,177
Individuals,Na h-Eileanan an Iar,Female,16 to 19,Upper school qualifications,164
Individuals,Na h-Eileanan an Iar,Female,16 to 19,Apprenticeship qualifications,38
Individuals,Na h-Eileanan an Iar,Female,16 to 19,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,29
Individuals,Na h-Eileanan an Iar,Female,16 to 19,Degree level qualifications or above,15
Individuals,Na h-Eileanan an Iar,Female,20 to 24,All people aged 16 and over,425
Individuals,Na h-Eileanan an Iar,Female,20 to 24,No qualifications,13
Individuals,Na h-Eileanan an Iar,Female,20 to 24,Lower school qualifications,84
Individuals,Na h-Eileanan an Iar,Female,20 to 24,Upper school qualifications,88
Individuals,Na h-Eileanan an Iar,Female,20 to 24,Apprenticeship qualifications,38
Individuals,Na h-Eileanan an Iar,Female,20 to 24,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,89
