SuperWEB2(tm),,,,
,,,,
Census 2022-Household-2Ev1,,,,
Scotland's Census 2022 - National Records of Scotland Table UV416 - Household tenure by age of Household Reference Person All Household Reference Persons aged 16 and over,,,,
United Kingdom Parliamentary Constituency 2024 and Age of Household Reference Person by Household Tenure,,,,
Counting: Households,,,,
,,,,
Filters:,,,,
Default Summation,Households,,,
,,,,
Counting,United Kingdom Parliamentary Constituency 2024,Age of Household Reference Person,Household Tenure,Count
Households,Cowdenbeath and Kirkcaldy,Household Reference Person is aged 50 to 64,Owned: Total,9309
Households,Cowdenbeath and Kirkcaldy,Household Reference Person is aged 50 to 64,Owned: Owned outright,4860
Households,Cowdenbeath and Kirkcaldy,Household Reference Person is aged 50 to 64,Owned: Owned with a mortgage or loan,4406
Households,Cowdenbeath and Kirkcaldy,Household Reference Person is aged 50 to 64,Owned: Shared ownership (part owned and part rented),17
Households,Cowdenbeath and Kirkcaldy,Household Reference Person is aged 50 to 64,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),26
Households,Cowdenbeath and Kirkcaldy,Household Reference Person is aged 50 to 64,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,3039
Households,Cowdenbeath and Kirkcaldy,Household Reference Person is aged 50 to 64,Private rented: Total,1094
Households,Cowdenbeath and Kirkcaldy,Household Reference Person is aged 50 to 64,Private rented: Private landlord or letting agency,1061
Households,Cowdenbeath and Kirkcaldy,Household Reference Person is aged 50 to 64,Private rented: Other,33
Households,Cowdenbeath and Kirkcaldy,Household Reference Person is aged 50 to 64,Lives Rent Free,125
Households,Cowdenbeath and Kirkcaldy,Household Reference Person is aged 65 and over,All Household Reference Persons aged 16 and over,13919
Households,Cowdenbeath and Kirkcaldy,Household Reference Person is aged 65 and over,Owned: Total,10436
Households,Cowdenbeath and Kirkcaldy,Household Reference Person is aged 65 and over,Owned: Owned outright,9643
Households,Cowdenbeath and Kirkcaldy,Household Reference Person is aged 65 and over,Owned: Owned with a mortgage or loan,727
Households,Cowdenbeath and Kirkcaldy,Household Reference Person is aged 65 and over,Owned: Shared ownership (part owned and part rented),19
Households,Cowdenbeath and Kirkcaldy,Household Reference Person is aged 65 and over,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),47
Households,Cowdenbeath and Kirkcaldy,Household Reference Person is aged 65 and over,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,2592
Households,Cowdenbeath and Kirkcaldy,Household Reference Person is aged 65 and over,Private rented: Total,604
Households,Cowdenbeath and Kirkcaldy,Household Reference Person is aged 65 and over,Private rented: Private landlord or letting agency,565
Households,Cowdenbeath and Kirkcaldy,Household Reference Person is aged 65 and over,Private rented: Other,39
Households,Cowdenbeath and Kirkcaldy,Household Reference Person is aged 65 and over,Lives Rent Free,289
Households,Cumbernauld and Kirkintilloch,All Household Reference Persons aged 16 and over,All Household Reference Persons aged 16 and over,40584
Households,Cumbernauld and Kirkintilloch,All Household Reference Persons aged 16 and over,Owned: Total,27991
Households,Cumbernauld and Kirkintilloch,All Household Reference Persons aged 16 and over,Owned: Owned outright,13829
Households,Cumbernauld and Kirkintilloch,All Household Reference Persons aged 16 and over,Owned: Owned with a mortgage or loan,13837
Households,Cumbernauld and Kirkintilloch,All Household Reference Persons aged 16 and over,Owned: Shared ownership (part owned and part rented),39
Households,Cumbernauld and Kirkintilloch,All Household Reference Persons aged 16 and over,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),286
Households,Cumbernauld and Kirkintilloch,All Household Reference Persons aged 16 and over,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,8579
Households,Cumbernauld and Kirkintilloch,All Household Reference Persons aged 16 and over,Private rented: Total,3626
Households,Cumbernauld and Kirkintilloch,All Household Reference Persons aged 16 and over,Private rented: Private landlord or letting agency,3493
Households,Cumbernauld and Kirkintilloch,All Household Reference Persons aged 16 and over,Private rented: Other,133
Households,Cumbernauld and Kirkintilloch,All Household Reference Persons aged 16 and over,Lives Rent Free,391
Households,Cumbernauld and Kirkintilloch,Household Reference Person ages 16 to 34,All Household Reference Persons aged 16 and over,5638
Households,Cumbernauld and Kirkintilloch,Household Reference Person ages 16 to 34,Owned: Total,2721
Households,Cumbernauld and Kirkintilloch,Household Reference Person ages 16 to 34,Owned: Owned outright,321
Households,Cumbernauld and Kirkintilloch,Household Reference Person ages 16 to 34,Owned: Owned with a mortgage or loan,2316
Households,Cumbernauld and Kirkintilloch,Household Reference Person ages 16 to 34,Owned: Shared ownership (part owned and part rented),7
Households,Cumbernauld and Kirkintilloch,Household Reference Person ages 16 to 34,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),83
Households,Cumbernauld and Kirkintilloch,Household Reference Person ages 16 to 34,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,1615
Households,Cumbernauld and Kirkintilloch,Household Reference Person ages 16 to 34,Private rented: Total,1229
Households,Cumbernauld and Kirkintilloch,Household Reference Person ages 16 to 34,Private rented: Private landlord or letting agency,1190
Households,Cumbernauld and Kirkintilloch,Household Reference Person ages 16 to 34,Private rented: Other,39
Households,Cumbernauld and Kirkintilloch,Household Reference Person ages 16 to 34,Lives Rent Free,72
Households,Cumbernauld and Kirkintilloch,Household Reference Person is aged 35 to 49,All Household Reference Persons aged 16 and over,9950
Households,Cumbernauld and Kirkintilloch,Household Reference Person is aged 35 to 49,Owned: Total,6613
Households,Cumbernauld and Kirkintilloch,Household Reference Person is aged 35 to 49,Owned: Owned outright,846
Households,Cumbernauld and Kirkintilloch,Household Reference Person is aged 35 to 49,Owned: Owned with a mortgage or loan,5663
Households,Cumbernauld and Kirkintilloch,Household Reference Person is aged 35 to 49,Owned: Shared ownership (part owned and part rented),10
Households,Cumbernauld and Kirkintilloch,Household Reference Person is aged 35 to 49,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),90
Households,Cumbernauld and Kirkintilloch,Household Reference Person is aged 35 to 49,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,2088
Households,Cumbernauld and Kirkintilloch,Household Reference Person is aged 35 to 49,Private rented: Total,1197
Households,Cumbernauld and Kirkintilloch,Household Reference Person is aged 35 to 49,Private rented: Private landlord or letting agency,1164
Households,Cumbernauld and Kirkintilloch,Household Reference Person is aged 35 to 49,Private rented: Other,30
Households,Cumbernauld and Kirkintilloch,Household Reference Person is aged 35 to 49,Lives Rent Free,55
Households,Cumbernauld and Kirkintilloch,Household Reference Person is aged 50 to 64,All Household Reference Persons aged 16 and over,13016
Households,Cumbernauld and Kirkintilloch,Household Reference Person is aged 50 to 64,Owned: Total,9571
Households,Cumbernauld and Kirkintilloch,Household Reference Person is aged 50 to 64,Owned: Owned outright,4499
Households,Cumbernauld and Kirkintilloch,Household Reference Person is aged 50 to 64,Owned: Owned with a mortgage or loan,5019
Households,Cumbernauld and Kirkintilloch,Household Reference Person is aged 50 to 64,Owned: Shared ownership (part owned and part rented),12
Households,Cumbernauld and Kirkintilloch,Household Reference Person is aged 50 to 64,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),41
Households,Cumbernauld and Kirkintilloch,Household Reference Person is aged 50 to 64,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,2587
Households,Cumbernauld and Kirkintilloch,Household Reference Person is aged 50 to 64,Private rented: Total,781
Households,Cumbernauld and Kirkintilloch,Household Reference Person is aged 50 to 64,Private rented: Private landlord or letting agency,751
Households,Cumbernauld and Kirkintilloch,Household Reference Person is aged 50 to 64,Private rented: Other,30
Households,Cumbernauld and Kirkintilloch,Household Reference Person is aged 50 to 64,Lives Rent Free,77
Households,Cumbernauld and Kirkintilloch,Household Reference Person is aged 65 and over,All Household Reference Persons aged 16 and over,11976
Households,Cumbernauld and Kirkintilloch,Household Reference Person is aged 65 and over,Owned: Total,9080
Households,Cumbernauld and Kirkintilloch,Household Reference Person is aged 65 and over,Owned: Owned outright,8163
Households,Cumbernauld and Kirkintilloch,Household Reference Person is aged 65 and over,Owned: Owned with a mortgage or loan,835
Households,Cumbernauld and Kirkintilloch,Household Reference Person is aged 65 and over,Owned: Shared ownership (part owned and part rented),12
Households,Cumbernauld and Kirkintilloch,Household Reference Person is aged 65 and over,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),72
Households,Cumbernauld and Kirkintilloch,Household Reference Person is aged 65 and over,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,2285
Households,Cumbernauld and Kirkintilloch,Household Reference Person is aged 65 and over,Private rented: Total,424
Households,Cumbernauld and Kirkintilloch,Household Reference Person is aged 65 and over,Private rented: Private landlord or letting agency,384
Households,Cumbernauld and Kirkintilloch,Household Reference Person is aged 65 and over,Private rented: Other,34
Households,Cumbernauld and Kirkintilloch,Household Reference Person is aged 65 and over,Lives Rent Free,187
Households,Dumfries and Galloway,All Household Reference Persons aged 16 and over,All Household Reference Persons aged 16 and over,46707
Households,Dumfries and Galloway,All Household Reference Persons aged 16 and over,Owned: Total,30374
Households,Dumfries and Galloway,All Household Reference Persons aged 16 and over,Owned: Owned outright,20050
Households,Dumfries and Galloway,All Household Reference Persons aged 16 and over,Owned: Owned with a mortgage or loan,10008
Households,Dumfries and Galloway,All Household Reference Persons aged 16 and over,Owned: Shared ownership (part owned and part rented),139
Households,Dumfries and Galloway,All Household Reference Persons aged 16 and over,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),174
Households,Dumfries and Galloway,All Household Reference Persons aged 16 and over,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,8845
Households,Dumfries and Galloway,All Household Reference Persons aged 16 and over,Private rented: Total,6353
Households,Dumfries and Galloway,All Household Reference Persons aged 16 and over,Private rented: Private landlord or letting agency,6111
Households,Dumfries and Galloway,All Household Reference Persons aged 16 and over,Private rented: Other,239
Households,Dumfries and Galloway,All Household Reference Persons aged 16 and over,Lives Rent Free,1135
Households,Dumfries and Galloway,Household Reference Person ages 16 to 34,All Household Reference Persons aged 16 and over,6186
Households,Dumfries and Galloway,Household Reference Person ages 16 to 34,Owned: Total,2437
Households,Dumfries and Galloway,Household Reference Person ages 16 to 34,Owned: Owned outright,443
Households,Dumfries and Galloway,Household Reference Person ages 16 to 34,Owned: Owned with a mortgage or loan,1919
Households,Dumfries and Galloway,Household Reference Person ages 16 to 34,Owned: Shared ownership (part owned and part rented),15
Households,Dumfries and Galloway,Household Reference Person ages 16 to 34,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),59
Households,Dumfries and Galloway,Household Reference Person ages 16 to 34,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,1719
Households,Dumfries and Galloway,Household Reference Person ages 16 to 34,Private rented: Total,1794
Households,Dumfries and Galloway,Household Reference Person ages 16 to 34,Private rented: Private landlord or letting agency,1728
